tensor(0.3032210767, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3021371067, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3028894365, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2967081070, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2976142168, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2992073894, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3026422262, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3012292683, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3040656745, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2987792194, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2994317710, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2978369296, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3041237593, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3001652062, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2948248684, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2983174324, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3001394272, device='cuda:1', grad_fn=<DivBackward0>)
